Address;Price;Rooms;SquareMeters;Date;Etage;Wohnfläche;Baujahr;Raumhöhe;Anzahl Wohnungen;Letztes Renovationsjahr;Nutzfläche;Grundstückfläche;Kubatur;Anzahl Toiletten;Hallenhöhe;Mindestnutzfläche;Gasanschluss;Waschmaschine;Kabel-TV;Haustiere erlaubt;Gedeckt;Mit Gartenhaus;Parkplatz;Minergie Bauweise;Tumbler;Keller;Estrich;Rollstuhlgängig;Balkon / Terrasse;Spielplatz;Altbau;Stromanschluss;Neubau;Cheminée;Minergie zertifiziert;Rauchen erlaubt;Lift;Steamer;Garage;Ruhige Lage;Hochparterre;Aussicht;Reduit;No features found;Abwasseranschluss;Swimmingpool;Eckhaus;Kinderfreundlich;Wasseranschluss;Geschirrspüler;In Wohngemeinschaft;Objekttyp_Attikawohnung;Objekttyp_Bauernhaus;Objekttyp_Dachwohnung;Objekttyp_Doppeleinfamilienhaus;Objekttyp_Einfamilienhaus;Objekttyp_Einzelzimmer;Objekttyp_Hobbyraum;Objekttyp_Kellerabteil;Objekttyp_Loft;Objekttyp_Maisonette / Duplex;Objekttyp_Mehrfamilienhaus;Objekttyp_Reihenfamilienhaus;Objekttyp_Schloss;Objekttyp_Studio;Objekttyp_Terrassenhaus;Objekttyp_Terrassenwohnung;Objekttyp_Villa;Objekttyp_Wohnung;Coordinates;Latitude;Longitude
Bahnhofweg 1, 8302 Kloten;2570.0;2.5;73.0;2024-04-02;7.0;73.0;2024.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.4499626159668, 8.582908630371094);47.4499626159668;8.582908630371094
Herrligweg 9, 8048 Zürich;1921.0;1.5;26.0;2024-04-02;4.0;26.0;2021.0;;0;;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.389892578125, 8.484477996826172);47.389892578125;8.484477996826172
Poststrasse 47, 8953 Dietikon;2830.0;3.5;104.0;2024-04-02;0.0;104.0;2024.0;2.4;0;;;;;0;;;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.3998908996582, 8.403274536132812);47.3998908996582;8.403274536132812
Im Steinacher 3, 8303 Bassersdorf;2950.0;3.5;90.0;2024-04-02;1.0;90.0;2023.0;;9;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.43076705932617, 8.642346382141113);47.43076705932617;8.642346382141113
Widenstrasse 1, 8302 Kloten;2950.0;3.5;92.0;2024-04-02;1.0;92.0;2024.0;2.4;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.446773529052734, 8.579062461853027);47.446773529052734;8.579062461853027
Seestrasse 9, 8805 Richterswil;3900.0;4.5;160.0;2024-04-02;0.0;160.0;1892.0;2.8;0;2013.0;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;(47.20563888549805, 8.710277557373047);47.20563888549805;8.710277557373047
Poststrasse 45, 8953 Dietikon;2130.0;2.5;66.0;2024-04-02;1.0;66.0;2024.0;2.4;0;;;;;0;;;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.400333404541016, 8.403396606445312);47.400333404541016;8.403396606445312
Guyer-Zeller-Strasse 17, 8620 Wetzikon;2495.0;2.5;78.0;2024-04-02;3.0;78.0;2023.0;2.45;0;;;;;0;;;False;True;True;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.31671905517578, 8.792036056518555);47.31671905517578;8.792036056518555
Albulastrasse 60, 8048 Zürich;4835.0;3.5;180.0;2024-04-02;12.0;180.0;2009.0;;0;;;;;0;;;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;(47.38902282714844, 8.492106437683105);47.38902282714844;8.492106437683105
Bahnhofweg 1, 8302 Kloten;2920.0;2.5;68.0;2024-04-02;9.0;68.0;2024.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.4499626159668, 8.582908630371094);47.4499626159668;8.582908630371094
Lättenstrasse 11, 8335 Hittnau;2760.0;3.5;100.0;2024-04-02;;100.0;2024.0;;0;;100.0;;;0;;;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;(47.36667251586914, 8.828701972961426);47.36667251586914;8.828701972961426
Am Stadtrand 56, 8600 Dübendorf;3545.0;2.5;58.0;2024-04-02;1.0;58.0;2019.0;2.4;0;;;;;0;;;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.399173736572266, 8.600276947021484);47.399173736572266;8.600276947021484
Badenerstrasse 250, 8052 Zürich;2900.0;2.5;55.0;2024-04-02;;55.0;2021.0;;0;;;;;0;;;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Bucheggstrasse 21, 8037 Zürich;3500.0;3.5;75.0;2024-04-02;1.0;75.0;2016.0;;0;;;;;0;;;False;True;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.396705627441406, 8.528757095336914);47.396705627441406;8.528757095336914
Grabenwies 2, 8057 Zürich;3220.0;2.5;90.0;2024-04-02;0.0;90.0;;;0;;;;;0;;;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.40153503417969, 8.536803245544434);47.40153503417969;8.536803245544434
8000 Zurich;3200.0;2.5;70.0;2024-04-02;2.0;70.0;2024.0;;0;;;;;0;;;False;True;False;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Müligrund, 8488 Turbenthal;2590.0;4.5;111.0;2024-04-02;0.0;111.0;2024.0;2.5;0;;;;;0;;;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;True;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Herrligweg 9, 8048 Zürich;1720.0;1.5;24.0;2024-04-02;2.0;24.0;2021.0;;0;;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.389892578125, 8.484477996826172);47.389892578125;8.484477996826172
Brunnenbühlstrasse 13, 8632 Tann;3450.0;3.5;97.0;2024-04-02;2.0;97.0;2024.0;;0;;;;;0;;;False;True;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.26982116699219, 8.854700088500977);47.26982116699219;8.854700088500977
Am Stadtrand 56, 8600 Dübendorf;2425.0;1.5;31.0;2024-04-02;1.0;31.0;2019.0;2.4;0;;;;;0;;;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.399173736572266, 8.600276947021484);47.399173736572266;8.600276947021484
Müligrund, 8488 Turbenthal;2100.0;3.5;87.0;2024-04-02;0.0;87.0;2024.0;;0;;;;;0;;;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;True;False;False;False;True;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
8048 Zürich;3600.0;3.5;107.0;2024-04-02;;107.0;2019.0;2.62;0;;;;;0;;;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.38456344604492, 8.485977172851562);47.38456344604492;8.485977172851562
Zürcherstrasse 91, 8245 Feuerthalen;1650.0;2.5;48.0;2024-04-02;2.0;48.0;2024.0;2.4;0;;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Schaffhauserstrasse 30, 8451 Kleinandelfingen;1936.0;3.5;105.0;2024-04-02;1.0;105.0;2013.0;;0;;;;;0;;;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.59981918334961, 8.683813095092773);47.59981918334961;8.683813095092773
Laubbergstrasse 36, 8192 Glattfelden;2780.0;3.5;116.0;2024-04-02;0.0;116.0;2024.0;2.4;8;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.562442779541016, 8.498109817504883);47.562442779541016;8.498109817504883
Zürcherstrasse 91, 8245 Feuerthalen;2200.0;4.5;77.0;2024-04-02;1.0;77.0;2024.0;2.4;0;;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
